"genre","start_year","average_rating","num_votes","primary_title","tconst","priority","title_type","genres","directors"
"Drama",1954,8.6,400964,"Seven Samurai","tt0047478",False,"movie","Action - Drama","Akira Kurosawa"
"Crime",1955,8.1,39320,"Rififi","tt0048021",False,"movie","Crime - Drama - Thriller","Jules Dassin"
"Drama",1955,8.1,39320,"Rififi","tt0048021",False,"movie","Crime - Drama - Thriller","Jules Dassin"
"Thriller",1955,8.1,39320,"Rififi","tt0048021",False,"movie","Crime - Drama - Thriller","Jules Dassin"
"Drama",1957,8.1,248323,"The Bridge on the River Kwai","tt0050212",True,"movie","Adventure - Drama - War","David Lean"
"Adventure",1957,8.1,248323,"The Bridge on the River Kwai","tt0050212",True,"movie","Adventure - Drama - War","David Lean"
"War",1957,8.1,248323,"The Bridge on the River Kwai","tt0050212",True,"movie","Adventure - Drama - War","David Lean"
"Drama",1957,8.4,238282,"Paths of Glory","tt0050825",False,"movie","Drama - War","Stanley Kubrick"
"War",1957,8.4,238282,"Paths of Glory","tt0050825",False,"movie","Drama - War","Stanley Kubrick"
"Drama",1957,8.1,215773,"The Seventh Seal","tt0050976",False,"movie","Drama - Fantasy","Ingmar Bergman"
"Fantasy",1957,8.1,215773,"The Seventh Seal","tt0050976",False,"movie","Drama - Fantasy","Ingmar Bergman"
"Drama",1957,8.1,124352,"Wild Strawberries","tt0050986",False,"movie","Drama - Romance","Ingmar Bergman"
"Romance",1957,8.1,124352,"Wild Strawberries","tt0050986",False,"movie","Drama - Romance","Ingmar Bergman"
"Crime",1957,8.4,161521,"Witness for the Prosecution","tt0051201",False,"movie","Crime - Drama - Mystery","Billy Wilder"
"Drama",1957,8.4,161521,"Witness for the Prosecution","tt0051201",False,"movie","Crime - Drama - Mystery","Billy Wilder"
"Mystery",1957,8.4,161521,"Witness for the Prosecution","tt0051201",False,"movie","Crime - Drama - Mystery","Billy Wilder"
"Adventure",1959,8.3,369194,"North by Northwest","tt0053125",False,"movie","Adventure - Drama - Mystery","Alfred Hitchcock"
"Drama",1959,8.3,369194,"North by Northwest","tt0053125",False,"movie","Adventure - Drama - Mystery","Alfred Hitchcock"
"Mystery",1959,8.3,369194,"North by Northwest","tt0053125",False,"movie","Adventure - Drama - Mystery","Alfred Hitchcock"
"Crime",1959,8.0,134341,"The 400 Blows","tt0053198",False,"movie","Crime - Drama","François Truffaut"
"Drama",1959,8.0,134341,"The 400 Blows","tt0053198",False,"movie","Crime - Drama","François Truffaut"
"Comedy",1960,8.3,218768,"The Apartment","tt0053604",False,"movie","Comedy - Drama - Romance","Billy Wilder"
"Drama",1960,8.3,218768,"The Apartment","tt0053604",False,"movie","Comedy - Drama - Romance","Billy Wilder"
"Romance",1960,8.3,218768,"The Apartment","tt0053604",False,"movie","Comedy - Drama - Romance","Billy Wilder"
"Drama",1961,8.3,96778,"Judgment at Nuremberg","tt0055031",False,"movie","Drama - History - War","Stanley Kramer"
"History",1961,8.3,96778,"Judgment at Nuremberg","tt0055031",False,"movie","Drama - History - War","Stanley Kramer"
"War",1961,8.3,96778,"Judgment at Nuremberg","tt0055031",False,"movie","Drama - History - War","Stanley Kramer"
"Action",1961,8.2,142750,"Yojimbo","tt0055630",False,"movie","Action - Drama - Thriller","Akira Kurosawa"
"Drama",1961,8.2,142750,"Yojimbo","tt0055630",False,"movie","Action - Drama - Thriller","Akira Kurosawa"
"Thriller",1961,8.2,142750,"Yojimbo","tt0055630",False,"movie","Action - Drama - Thriller","Akira Kurosawa"
"Adventure",1962,8.3,341344,"Lawrence of Arabia","tt0056172",False,"movie","Adventure - Biography - Drama","David Lean"
"Biography",1962,8.3,341344,"Lawrence of Arabia","tt0056172",False,"movie","Adventure - Biography - Drama","David Lean"
"Drama",1962,8.3,341344,"Lawrence of Arabia","tt0056172",False,"movie","Adventure - Biography - Drama","David Lean"
"Crime",1962,8.2,351220,"To Kill a Mockingbird","tt0056592",False,"movie","Crime - Drama","Robert Mulligan"
"Drama",1962,8.2,351220,"To Kill a Mockingbird","tt0056592",False,"movie","Crime - Drama","Robert Mulligan"
"Adventure",1963,8.2,277113,"The Great Escape","tt0057115",False,"movie","Adventure - Drama - Thriller","John Sturges"
"Drama",1963,8.2,277113,"The Great Escape","tt0057115",False,"movie","Adventure - Drama - Thriller","John Sturges"
"Thriller",1963,8.2,277113,"The Great Escape","tt0057115",False,"movie","Adventure - Drama - Thriller","John Sturges"
"Drama",1964,7.1,57563,"Marnie","tt0058329",True,"movie","Crime - Drama - Mystery","Alfred Hitchcock"
"Crime",1964,7.1,57563,"Marnie","tt0058329",True,"movie","Crime - Drama - Mystery","Alfred Hitchcock"
"Mystery",1964,7.1,57563,"Marnie","tt0058329",True,"movie","Crime - Drama - Mystery","Alfred Hitchcock"
"Drama",1965,8.2,10444,"The Shop on Main Street","tt0059527",False,"movie","Drama - War","Ján Kadár - Elmar Klos"
"War",1965,8.2,10444,"The Shop on Main Street","tt0059527",False,"movie","Drama - War","Ján Kadár - Elmar Klos"
"Thriller",1966,8.0,140240,"Persona","tt0060827",False,"movie","Drama - Thriller","Ingmar Bergman"
