"tconst","start_year","average_rating","num_votes","primary_title","priority","title_type","genres","directors"
"tt11210390",2023,5.1,13496,"Asterix & Obelix: The Middle Kingdom",False,"movie","Adventure - Comedy - Family","Guillaume Canet - Khaled Haffad"
"tt16300962",2023,6.9,60787,"When Evil Lurks",False,"movie","Horror","Demián Rugna"
"tt1633359",2023,5.9,17625,"The Toxic Avenger",False,"movie","Action - Comedy - Horror","Macon Blair"
"tt16431966",2023,6.6,7885,"Sometimes I Think About Dying",False,"movie","Comedy - Drama - Romance","Rachel Lambert"
"tt16606592",2023,6.7,11843,"The Animal Kingdom",False,"movie","Adventure - Drama - Fantasy","Thomas Cailley"
"tt16968450",2023,7.4,88067,"The Wonderful Story of Henry Sugar",False,"short","Adventure - Comedy - Drama","Wes Anderson"
"tt17220216",2023,7.0,58439,"Monarch: Legacy of Monsters",False,"tvSeries","Action - Adventure - Sci-Fi","Mairzee Almas - Andy Goddard - Julian Holmes - Jeff King - Matt Shakman - Lawrence Trilling - Gandja Monteiro - Hiromi Kamata"
"tt17569526",2023,5.1,2991,"Acid",False,"movie","Drama - Sci-Fi","Just Philippot"
"tt18257464",2023,6.6,12907,"Polite Society",False,"movie","Action - Comedy","Nida Manzoor"
"tt19500164",2023,7.5,61764,"Nimona",True,"movie","Action - Adventure - Animation","Troy Quane - Nick Bruno"
"tt20114686",2023,7.3,8562,"Femme",False,"movie","Drama - Thriller","Sam H. Freeman - Ng Choon Ping"
"tt20115766",2023,7.0,30355,"Knox Goes Away",False,"movie","Crime - Thriller","Michael Keaton"
"tt20330434",2023,6.5,7318,"The Crime Is Mine",False,"movie","Comedy - Crime - Mystery","François Ozon"
"tt20420628",2023,6.1,7988,"Freud's Last Session",False,"movie","Drama","Matt Brown"
"tt20916568",2023,6.2,20651,"The Wrath of Becky",False,"movie","Action - Comedy - Thriller","Matt Angel - Suzanne Coote"
"tt21284442",2023,6.1,1553,"Late Bloomers",False,"movie","Comedy - Drama","Lisa Steen"
"tt21335356",2023,6.0,12032,"Please Don't Destroy: The Treasure of Foggy Mountain",False,"movie","Action - Adventure - Comedy","Paul Briganti"
"tt21810682",2023,5.8,9247,"The End We Start From",False,"movie","Drama - Thriller","Mahalia Belo"
"tt21942866",2023,6.8,93397,"Dream Scenario",True,"movie","Comedy - Drama - Fantasy","Kristoffer Borgli"
"tt22688572",2023,4.3,3943,"Boudica: Queen of War",False,"movie","Action - Drama - History","Jesse V. Johnson"
"tt10767052",2023,6.5,31078,"Next Goal Wins",False,"movie","Comedy - Drama - Sport","Taika Waititi"
"tt23181388",2023,8.1,7821,"Life on Our Planet",True,"tvMiniSeries","Documentary","Adam Chapman - Nick Shoolingin-Jordan - Barny Revill - Sophie Lanfear - Gisle Sverdrup"
"tt23289160",2023,7.6,202581,"Godzilla Minus One",False,"movie","Action - Adventure - Drama","Takashi Yamazaki"
"tt23329452",2023,7.3,179,"Starring Jerry as Himself",False,"movie","Biography - Crime - Documentary","Law Chen"
"tt24082438",2023,8.6,43810,"20 Days in Mariupol",True,"movie","Documentary - War","Mstyslav Chernov"
"tt24083908",2023,5.3,1525,"The Black Book",False,"movie","Thriller","Editi Effiong"
"tt24216998",2023,7.0,11809,"Humanist Vampire Seeking Consenting Suicidal Person",False,"movie","Comedy - Drama - Fantasy","Ariane Louis-Seize"
"tt25289836",2023,5.3,4611,"Good Burger 2",False,"movie","Comedy - Family","Phil Traill"
"tt25434854",2023,6.8,2788,"Deep Sea",False,"movie","Adventure - Animation - Drama","Xiaopeng Tian"
"tt26256406",2023,6.3,854,"Banel & Adama",False,"movie","Drama","Ramata-Toulaye Sy"
"tt27590147",2023,6.6,4297,"Only the River Flows",False,"movie","Crime - Drama - Mystery","Wei Shujun"
"tt27695005",2023,6.8,3239,"River",True,"movie","Comedy - Fantasy - Sci-Fi","Junta Yamaguchi"
"tt27989255",2023,5.6,1116,"The Last Spark of Hope",False,"movie","Drama - Sci-Fi","Piotr Biedron"
"tt28085416",2023,6.8,80,"Invaders from Proxima B",False,"movie","Comedy - Family","Ward Roberts"
"tt28309395",2023,4.3,561,"Bad CGI Gator",False,"movie","Comedy - Horror","Danny Draven"
"tt10461442",2023,4.2,298,"Dick Dynamite 1944",True,"movie","Action - Comedy - Horror","Robbie Davidson"
"tt10370812",2023,6.9,6780,"The Settlers",False,"movie","Crime - Drama - History","Felipe Gálvez Haberle"
"tt8589698",2023,7.2,77822,"Teenage Mutant Ninja Turtles: Mutant Mayhem",False,"movie","Action - Adventure - Animation","Kyler Spears - Jeff Rowe"
"tt3758542",2023,6.4,67291,"Ferrari",False,"movie","Biography - Drama - History","Michael Mann"
"tt4589218",2023,5.4,137541,"Five Nights at Freddy's",False,"movie","Horror - Mystery - Thriller","Emma Tammi"
"tt5761544",2023,6.1,46570,"Kandahar",False,"movie","Action - Drama - Thriller","Ric Roman Waugh"
"tt6495056",2023,6.6,46536,"Migration",False,"movie","Adventure - Animation - Comedy","Benjamin Renner"
"tt6722400",2023,6.0,28406,"Fast Charlie",False,"movie","Action - Crime - Drama","Phillip Noyce"
"tt6791350",2023,7.9,468817,"Guardians of the Galaxy Vol. 3",False,"movie","Action - Adventure - Comedy","James Gunn"
"tt9755806",2023,5.0,471,"Big Shark",False,"movie","Adventure - Comedy - Horror","Tommy Wiseau"
"tt9873892",2023,6.7,47810,"They Cloned Tyrone",False,"movie","Comedy - Mystery - Sci-Fi","Juel Taylor"
"tt7985704",2023,6.3,110468,"Operation Fortune: Ruse de Guerre",False,"movie","Action - Adventure - Comedy","Guy Ritchie"
"tt11908172",2023,5.5,9928,"The Kill Room",False,"movie","Comedy - Thriller","Nicol Paone"
"tt1136617",2023,6.7,222727,"The Killer",True,"movie","Action - Adventure - Crime","David Fincher"
"tt12404266",2023,6.8,4377,"The Last Rifleman",False,"movie","Biography - Drama - War","Terry Loane"
"tt8209702",2023,6.5,7612,"Sleep",False,"movie","Horror - Mystery - Thriller","Jason Yu"
"tt13055264",2023,6.2,13592,"Strange Way of Life",False,"short","Drama - Short - Western","Pedro Almodóvar"
"tt13097932",2023,7.5,39981,"One Life",False,"movie","Biography - Drama - History","James Hawes"
"tt13231544",2023,7.7,19423,"About Dry Grasses",False,"movie","Drama","Nuri Bilge Ceylan"
"tt32627540",2024,7.1,8314,"Watchmen: Chapter I",False,"movie","Action - Animation - Drama","Brandon Vietti"
"tt32368033",2024,4.6,369,"Bangkok Dog",False,"movie","Action - Crime - Thriller","Chaya Supannarat"
"tt31711040",2024,7.8,21703,"Look Back",True,"movie","Animation - Drama","Kiyotaka Oshiyama"
"tt10399902",2024,7.9,22365,"Boy Swallows Universe",False,"tvMiniSeries","Crime - Drama - Mystery","Jocelyn Moorhouse - Bharat Nalluri - Kim Mordaunt"
"tt12616480",2024,5.7,12086,"Slingshot",True,"movie","Mystery - Sci-Fi - Thriller","Mikael Håfström"
"tt2640044",2024,7.8,69956,"Masters of the Air",True,"tvMiniSeries","Action - Drama - History","Ryan Fleck - Timothy Van Patten - Anna Boden - Cary Joji Fukunaga - Dee Rees"
"tt6300910",2024,5.5,6582,"The Unholy Trinity",False,"movie","Action - Adventure - Crime","Richard Gray"
"tt10625492",2024,7.2,10969,"Twilight of the Gods",False,"tvSeries","Action - Adventure - Animation","David Hartman - Jay Oliva - Zack Snyder - Andrew Tamandl - Tim Divar"
"tt15009428",2024,5.6,99772,"Argylle",True,"movie","Action - Comedy - Thriller","Matthew Vaughn"
"tt24176060",2024,6.3,29604,"Queer",True,"movie","Biography - Drama - History","Luca Guadagnino"
"tt2396431",2024,5.4,22116,"Dear Santa",True,"movie","Comedy - Fantasy","Bobby Farrelly"
"tt14824600",2024,6.3,39727,"The Lord of the Rings: The War of the Rohirrim",False,"movie","Action - Adventure - Animation","Kenji Kamiyama"
"tt23558280",2024,5.6,30541,"Elevation",False,"movie","Action - Horror - Mystery","George Nolfi"
"tt23468450",2024,6.5,222582,"Longlegs",False,"movie","Crime - Horror - Mystery","Osgood Perkins"
"tt22408160",2024,6.4,71242,"Kinds of Kindness",False,"movie","Comedy - Drama - Horror","Yorgos Lanthimos"
